timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-11-26 12:15:00,135.85,136.2,135.56,136.06,25633.656,2025-11-26 12:29:59.999,3483558.3768,23131,14355.643,1951163.78891
2025-11-26 12:30:00,136.06,136.11,135.79,135.89,19861.456,2025-11-26 12:44:59.999,2700173.61585,13534,13163.748,1789668.74524
2025-11-26 12:45:00,135.88,136.0,135.62,135.65,33290.058,2025-11-26 12:59:59.999,4521256.22555,11904,19828.481,2692822.43572
2025-11-26 13:00:00,135.64,136.06,135.5,135.79,24086.23,2025-11-26 13:14:59.999,3272104.38018,16072,13598.801,1847420.63777
2025-11-26 13:15:00,135.78,136.39,135.77,136.1,31540.27,2025-11-26 13:29:59.999,4292953.59996,15869,17849.976,2428908.8777
2025-11-26 13:30:00,136.09,136.92,135.71,136.67,30227.992,2025-11-26 13:44:59.999,4122072.75858,24106,19829.439,2704798.84628
2025-11-26 13:45:00,136.68,136.86,136.38,136.73,23225.348,2025-11-26 13:59:59.999,3172657.05856,16980,14101.609,1926377.74859
2025-11-26 14:00:00,136.73,137.02,136.14,136.89,38422.07,2025-11-26 14:14:59.999,5245602.43204,16255,22622.953,3089979.12054
2025-11-26 14:15:00,136.89,137.2,136.58,137.05,42444.727,2025-11-26 14:29:59.999,5812867.00101,16456,29163.274,3994455.30123
2025-11-26 14:30:00,137.05,137.35,136.02,136.74,59635.177,2025-11-26 14:44:59.999,8151007.95529,45206,32937.408,4501847.59441
2025-11-26 14:45:00,136.74,138.29,135.7,136.32,219238.508,2025-11-26 14:59:59.999,30006455.93339,113276,113620.006,15554728.27426
2025-11-26 15:00:00,136.31,136.96,135.82,136.53,141897.344,2025-11-26 15:14:59.999,19356748.3029,82521,80827.883,11027883.66905
2025-11-26 15:15:00,136.53,137.38,136.11,137.24,39805.62,2025-11-26 15:29:59.999,5437673.77343,33178,25727.952,3514772.47125
2025-11-26 15:30:00,137.24,137.45,136.35,136.36,34123.838,2025-11-26 15:44:59.999,4671894.51082,31080,17291.189,2367554.80224
2025-11-26 15:45:00,136.35,136.96,135.78,136.66,81912.362,2025-11-26 15:59:59.999,11171858.5884,41832,47562.07,6485574.76501
2025-11-26 16:00:00,136.67,137.52,136.61,137.47,39081.102,2025-11-26 16:14:59.999,5357858.28172,22449,21443.712,2939367.71887
2025-11-26 16:15:00,137.47,137.97,137.46,137.75,25208.456,2025-11-26 16:29:59.999,3472518.90265,22808,11756.457,1619701.93258
2025-11-26 16:30:00,137.75,138.1,136.78,136.9,47809.666,2025-11-26 16:44:59.999,6568324.45584,34243,20129.961,2766253.82026
2025-11-26 16:45:00,136.9,137.19,136.46,137.06,30215.458,2025-11-26 16:59:59.999,4135849.99927,19940,12727.548,1742508.71713
2025-11-26 17:00:00,137.07,137.52,136.9,137.01,21672.727,2025-11-26 17:14:59.999,2974662.08047,18711,12966.908,1779819.57742
2025-11-26 17:15:00,137.0,138.81,136.75,138.71,39752.383,2025-11-26 17:29:59.999,5488309.10914,34038,23937.697,3304020.09147
